213,"Matemática"
214,"Engenharia de Sistemas e Computação"
215,"Estatística"
216,"Química Orgânica"
217,"Matemática Aplicada"
218,"Ciência e Tecnologia de Polímeros"
219,"Química de Produtos Naturais"
220,"Físico-Química"
221,"Geologia"
222,"Ciências Biológicas (Biofísica)"
223,"Bioquímica"
224,"Ciências Biológicas (Botânica)"
225,"Ciências Biológicas (Farmac. e Terap. Experimental)"
226,"Ciências Biológicas (Genética)"
227,"Ciências (Microbiologia)"
228,"Ciências Biológicas (Zoologia)"
229,"Sociologia e Antropologia"
230,"Antropologia Social"
231,"Filosofia"
232,"História"
233,"Geografia"
234,"Economia da Industria e da Tecnologia"
235,"Engenharia Biomédica"
236,"Engenharia Civil"
237,"Engenharia Elétrica"
238,"Engenharia Mecânica"
239,"Engenharia Metalúrgica e de Materiais"
240,"Engenharia Oceânica"
241,"Engenharia Nuclear"
242,"Engenharia (Pesq. Operac. e Gerenc. de Produção)"
243,"Engenharia Química"
244,"Tecnologia de Processos Químicos e Bioquímicos"
245,"Engenharia de Transportes"
246,"Medicina (Anatomia Patológica)"
247,"Medicina (Cardiologia)"
248,"Medicina (Cirurgia Geral)"
249,"Medicina (Dermatologia)"
250,"Medicina (Endocrinologia)"
251,"Medicina (Gastroenterologia)"
252,"Clínica Médica"
253,"Medicina (Doenças Infecciosas e Parasitárias)"
254,"Nefrologia"
255,"Medicina (Ortopedia e Traumatologia)"
256,"Psiquiatria e Saúde Mental"
257,"Medicina (Radiologia)"
258,"Odontologia (Ortodontia)"
259,"Enfermagem"
260,"Administração"
261,"Comunicação"
262,"Planejamento Urbano e Regional"
263,"Serviço Social"
264,"Lingüística"
265,"Letras (Letras Clássicas)"
266,"Letras (Letras Vernáculas)"
267,"Letras (Ciência da Literatura)"
268,"Música"
269,"Otorrinolaringologia"
270,"Oftalmologia"
271,"Odontologia (Periodontia)"
272,"Odontologia (Odontopediatria)"
273,"Nutrição"
274,"Interdisciplinar de Lingüística Aplicada"
275,"Letras Neolatinas"
276,"Química Biológica"
277,"Arquitetura"
278,"Artes Visuais"
279,"Ciência da Informação"
280,"Ecologia"
281,"Teoria Psicanalítica"
282,"Psicologia"
283,"Ciências Farmacêuticas"
284,"Biotecnologia Vegetal"
285,"Psicossociologia de Comunid. e Ecologia Social"
286,"Planejamento Energético"
287,"Urbanismo"
288,"Química Inorgânica"
289,"Ciências Morfológicas"
290,"Química Orgânica"
291,"Agronomia (Ciência do Solo)"
292,"Ciências Veterinárias"
293,"Ciência e Tecnologia de Alimentos"
294,"Desenvolvimento, Agricultura e Sociedade"
295,"Microbiologia Veterinária"
296,"Medicina Veterinária"
297,"Fitotecnia"
298,"Ciências Ambientais e Florestais"
299,"Biologia Animal"
300,"Educação"
301,"Física"
302,"Matemática"
303,"Geociências (Geoquímica)"
304,"História"
305,"Engenharia Civil"
306,"Patologia (Anatomia Patológica)"
307,"Medicina (Cirurgia Gastroenterológica)"
308,"Medicina (Cirurgia Torácica)"
309,"Medicina (Dermatologia)"
310,"Medicina (Pneumologia)"
311,"Medicina (Pediatria)"
312,"Odontologia (Odontologia Social)"
313,"Medicina Veterinária (Hig. Veter. Proc. Tecn. Prod. de Origem Animal)"
314,"Letras"
315,"Patologia Experimental"
316,"Patologia Buco-Dental"
317,"Engenharia de Produção"
318,"Medicina (Cardiologia)"
319,"Economia"
320,"Medicina Veterinária (Patologia Veterinária)"
321,"Medicina Veterinária (Cir. e Clínica Veterinária)"
322,"Medicina (Neurologia)"
323,"Administracao"
324,"Química Orgânica"
325,"Geologia e Geofísica Marinha"
326,"Medicina (Doenças Infecciosas e Parasitárias)"
327,"Antropologia"
328,"Engenharia Metalúrgica"
329,"Ciência Política"
330,"Ciência da Computação"
331,"Computação Aplicada e Automação"
332,"Engenharia Mecânica"
333,"Ciência Ambiental"
334,"Biologia Marinha"
335,"Biologia (Biociências Nucleares)"
336,"Medicina (Cardiologia)"
337,"Medicina (Endocrinologia)"
338,"Saúde Coletiva"
339,"Medicina (Nefrologia)"
340,"Educação"
341,"Odontologia"
342,"Letras"
343,"Medicina (Urologia)"
344,"Psicologia Social"
345,"Ciências Contábeis"
346,"Direito"
347,"Filosofia"
348,"Morfologia"
349,"Microbiologia"
350,"Modelagem Computacional"
351,"Análise de Bacias: Form. Preenc. e Tect. Modificador"
352,"Educação"
353,"Física"
354,"Matemática"
355,"Informática"
356,"Química (Química Analítica Inorgânica)"
357,"Filosofia"
358,"Teologia"
359,"Economia"
360,"Psicologia (Psicologia Clínica)"
361,"Engenharia Civil"
362,"Engenharia Elétrica"
363,"Engenharia Mecânica"
364,"Engenharia Metalúrgica"
365,"Engenharia de Produção"
366,"Medicina (Endocrinologia)"
367,"Administração de Empresas"
368,"Direito"
369,"Serviço Social"
370,"Letras"
371,"História Social da Cultura"
372,"Relações Internacionais"
373,"Filosofia"
374,"Psicologia (Psicologia Social)"
375,"Direito"
376,"Educação Física"
377,"Química"
378,"Engenharia Elétrica"
379,"Engenharia Mecânica"
380,"Ciência dos Materiais"
381,"Engenharia Nuclear"
382,"Sistemas e Computação"
383,"Engenharia de Transportes"
384,"Matemática"
385,"Física"
386,"Biologia Parasitária"
387,"Saúde Pública"
388,"Medicina Tropical"
389,"Biologia Celular e Molecular"
390,"Saúde da Criança e da Mulher"
391,"Economia"
392,"Administração Pública"
393,"Sociologia"
394,"Ciência Política (Ciência Política e Sociologia)"
395,"Astronomia"
396,"Geofísica"
397,"Música"
398,"Educação Matemática"
399,"Educação"
400,"Enfermagem"
401,"Memória Social e Documento"
402,"Teatro"
403,"Música"
404,"Tecnologia"
405,"Biociências e Biotecnologia"
406,"Educação"
407,"Física"
408,"Matemática"
409,"Ciência da Computação"
410,"Química"
411,"Bioquímica e Imunologia"
412,"Ciências Biológicas (Fisiologia e Farmacologia)"
413,"Ciências Biológicas (Microbiologia)"
414,"Biologia Celular"
415,"Parasitologia"
416,"Ciência Política"
417,"Filosofia"
418,"Economia"
419,"Saneamento, Meio Ambiente e Recursos Hídricos"
420,"Engenharia Elétrica"
421,"Engenharia Mecânica"
422,"Engenharia Metalúrgica e de Minas"
423,"Ciências Técnicas Nucleares"
424,"Patologia"
425,"Cirurgia"
426,"Medicina (Dermatologia)"
427,"Medicina (Medicina Tropical)"
428,"Oftalmologia"
429,"Odontologia"
430,"Administração"
431,"Direito"
432,"Ciência da Informação"
433,"Zootecnia"
434,"Medicina Veterinária"
435,"Ciência de Alimentos"
436,"Sociologia"
437,"Demografia"
438,"Medicina (Pediatria)"
439,"Ecologia (Conservação e Manejo da Vida Silvestre)"
440,"Geografia"
441,"Engenharia de Estruturas"
442,"Geologia"
443,"Educação Física"
444,"Psicologia"
445,"Ciência Animal"
446,"História"
447,"Engenharia Química"
448,"Saúde Pública"
449,"Enfermagem"
450,"Sociologia e Política"
451,"Medicina (Gastroenterologia)"
452,"Arquitetura"
453,"Estudos Lingüísticos"
454,"Estudos Literários"
455,"Fitotecnia (Produção Vegetal)"
456,"Agronomia (Fitopatologia)"
457,"Microbiologia Agrícola"
458,"Genética e Melhoramento"
459,"Ciências Agrárias (Fisiologia Vegetal)"
460,"Engenharia Agrícola"
461,"Agronomia (Solos e Nutrição de Plantas)"
462,"Extensão Rural"
463,"Economia Aplicada"
464,"Zootecnia"
465,"Ciência Florestal"
466,"Ciência e Tecnologia de Alimentos"
467,"Agronomia (Meteorologia Agrícola)"
468,"Agroquímica"
469,"Entomologia"
470,"Engenharia Civil"
471,"Economia Doméstica"
472,"Medicina Veterinária"
473,"Botânica"
474,"Engenharia Elétrica"
475,"Engenharia Mecânica"
476,"Engenharia de Produção"
477,"Agronomia (Fitotecnia)"
