164,"NIU","EN","Niue"
165,"NOR","NO","Noruega"
166,"NPL","NE","Nepal"
167,"NRU","EN","Nauru"
168,"NZL","EN","Nova Zelândia"
169,"OMA","AR","Oma"
170,"PAN","ES","Panamá"
171,"PAQ","UR","Paquistão"
172,"PCI","EN","Pacific Islands"
173,"PCN","EN","Pitcairn"
174,"PER","ES","Peru"
175,"PLF","FR","Polinésia Francesa"
176,"PLU","EN","Palau"
177,"PNG","EN","Papua Nova Guiné"
178,"POL","PL","Polônia"
179,"POR","PT","Portugal"
180,"PRG","ES","Paraguai"
181,"PTR","ES","Porto Rico"
182,"QUE","SW","Quênia"
183,"QUI","RU","Quirgistão"
184,"RCA","FR","Rep.Centro-Africana"
185,"REU","FR","Reunião"
186,"RFA","DE","Alemanha"
187,"ROM","RO","Romênia"
188,"RSS","RU","Rússia"
189,"RUA","FR","Ruanda"
190,"SAM","EN","Samoa Ocidental"
191,"SEN","FR","Senegal"
192,"SHN","EN","Ilhas Santa Helena"
193,"SIR","AR","Síria"
194,"SLB","EN","Ilhas Salamão"
195,"SMR","IT","San Marino"
196,"SOM","AR","Somália"
197,"SPM","EN","São Pedro Miquelon"
198,"SRI","SI","Sri Lanka"
199,"SRL","EN","Serra Leoa"
200,"STP","EN","São Tomé e Príncipe"
201,"SUA","EN","Suazilândia"
202,"SUD","AR","Sudão"
203,"SUE","SV","Suécia"
204,"SUI","FR","Suiça"
205,"SUR","NL","Suriname"
206,"SVK","EN","Eslováquia"
207,"SVN","EN","Eslovênia"
208,"SYC","EN","Seychelles"
209,"TAD","RU","Tadjaquistão"
210,"TAI","TH","Tailândia"
211,"TAN","EN","Tanzânia"
212,"TCA","EN","Ilhas Turcas Caicos"
213,"TCH","CS","República Tcheca"
214,"TGO","FR","Togo"
215,"TKL","EN","Tokelau"
216,"TMP","EN","Timor"
217,"TON","EN","Tonga"
218,"TRT","EN","Trinidad e Tobago"
219,"TUC","RU","Turcomenistão"
220,"TUN","AR","Tunísia"
221,"TUR","TR","Turquia"
222,"TUV","EN","Tuvalu"
223,"UCR","RU","Ucrânia"
224,"UGA","EN","Uganda"
225,"URS","RU","União Soviética"
226,"URU","ES","Uruguai"
227,"UZB","RU","Uzbekistan"
228,"VAT","IT","Vaticano"
229,"VCT","EN","São Vicente Granadi"
230,"VEN","ES","Venezuela"
231,"VGB","EN","Ilhas Vírgens GBR"
232,"VTN","VI","Vietnã"
233,"VUT","EN","Vanuatu"
234,"WAK","EN","Ilhas Wake"
235,"WLF","EN","Ilhas Wallis Futuna"
236,"ZAN","EN","Zâmbia"
237,"ZAR","FR","Zaire"
238,"ZIN","EN","Zimbabue"
